Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2020-2030,4,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,5000,5200,200,4.0,1220,2070,3490,64.35,133854.0,Postsecondary non-degree award,<5 years,Moderate-term on-the-job training
State,California,2020-2030,4,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",8500,10100,1600,18.8,3420,5420,10440,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,3,33-2000,Fire Fighting and Prevention Workers,28800,30100,1300,4.5,7000,15150,23450,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,33-2011,Firefighters,27200,28300,1100,4.0,6110,14310,21520,39.8,82769.0,Postsecondary non-degree award,≥5 years,Long-term on-the-job training
State,California,2020-2030,4,33-2021,Fire Inspectors and Investigators,1200,1300,100,8.3,650,620,1370,37.28,77534.0,Postsecondary non-degree award,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,33-3000,Law Enforcement Workers,120000,120100,100,0.1,35000,61560,96660,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,33-3012,Correctional Officers and Jailers,37500,34900,-2600,-6.9,13630,19570,30600,41.97,87299.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,33-3021,Detectives and Criminal Investigators,12000,12200,200,1.7,3080,5580,8860,53.33,110934.0,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
State,California,2020-2030,4,33-3041,Parking Enforcement Workers,1300,800,-500,-38.5,560,520,580,30.92,64305.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,33-3051,Police and Sheriff's Patrol Officers,68600,71700,3100,4.5,17520,35610,56230,51.43,106957.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,33-9000,Other Protective Service Workers,212900,252200,39300,18.5,170980,192870,403150,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,33-9011,Animal Control Workers,1100,1200,100,9.1,330,600,1030,30.18,62759.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,33-9021,Private Detectives and Investigators,3700,4200,500,13.5,1080,2290,3870,32.29,67172.0,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
State,California,2020-2030,4,33-9031,Gaming Surveillance Officers and Gaming Investigators,1600,2200,600,37.5,1010,1480,3090,17.89,37205.0,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
State,California,2020-2030,4,33-9032,Security Guards,141400,169400,28000,19.8,82280,120350,230630,18.49,38442.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,33-9091,Crossing Guards,5100,5900,800,15.7,7960,2820,11580,21.41,44529.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",12400,15500,3100,25.0,19230,15500,37830,18.11,37674.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,33-9093,Transportation Security Screeners,10000,11300,1300,13.0,3820,5310,10430,25.17,52343.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,33-9098,"School Bus Monitors and Protective Service Workers, All Other",37700,42500,4800,12.7,55260,44540,104600,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,2,35-0000,Food Preparation and Serving Related Occupations,1198400,1662000,463600,38.7,1071460,1426200,2961260,15.84,32952.0,No information available,<5 years,No Training
State,California,2020-2030,3,35-1000,Supervisors of Food Preparation and Serving Workers,117100,166600,49500,42.3,59550,143580,252630,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,35-1011,Chefs and Head Cooks,20400,30400,10000,49.0,7580,24880,42460,25.92,53910.0,High school diploma or equivalent,≥5 years,No Training
State,California,2020-2030,4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,96700,136300,39600,41.0,51970,118690,210260,19.75,41096.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,3,35-2000,Cooks and Food Preparation Workers,362000,501100,139100,38.4,271730,375100,785930,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,35-2011,"Cooks, Fast Food",116900,134200,17300,14.8,73890,107460,198650,15.6,32440.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-2012,"Cooks, Institution and Cafeteria",20300,23900,3600,17.7,13010,18920,35530,19.63,40819.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-2013,"Cooks, Private Household",3600,3400,-200,-5.6,2050,2980,4830,26.38,54870.0,Postsecondary non-degree award,<5 years,No Training
State,California,2020-2030,4,35-2014,"Cooks, Restaurant",123500,215600,92100,74.6,99770,145110,336980,18.7,38900.0,No formal educational credential,<5 years,Moderate-term on-the-job training
State,California,2020-2030,4,35-2015,"Cooks, Short Order",14300,17900,3600,25.2,9480,13790,26870,15.92,33101.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-2019,"Cooks, All Other",3700,5300,1600,43.2,2650,3860,8110,18.6,38698.0,No formal educational credential,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,35-2021,Food Preparation Workers,79600,100900,21300,26.8,70870,82980,175150,16.3,33901.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,35-3000,Food and Beverage Serving Workers,573200,781900,208700,36.4,579630,743800,1532130,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,35-3011,Bartenders,38200,62400,24200,63.4,22790,60960,107950,15.66,32579.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-3023,Fast Food and Counter Workers,346200,459200,113000,32.6,390480,425760,929240,15.61,32461.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-3031,Waiters and Waitresses,164500,231300,66800,40.6,145320,236340,448460,15.51,32270.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-3041,"Food Servers, Nonrestaurant",24200,29000,4800,19.8,21040,20750,46590,17.26,35905.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,35-9000,Other Food Preparation and Serving Related Workers,146200,212400,66200,45.3,160550,163720,390470,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,41600,62700,21100,50.7,45020,45170,111290,15.56,32365.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-9021,Dishwashers,52800,73400,20600,39.0,47450,52750,120800,15.53,32312.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",32300,47500,15200,47.1,47300,44940,107440,15.59,32429.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,35-9099,"Food Preparation and Serving Related Workers, All Other",19400,28800,9400,48.5,20790,20860,51050,15.75,32749.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,543900,626700,82800,15.2,327670,430850,841320,18.63,38762.0,No information available,<5 years,No Training
State,California,2020-2030,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,40800,46500,5700,14.0,16100,30780,52580,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,19900,23000,3100,15.6,9200,14810,27110,25.09,52183.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",21000,23500,2500,11.9,6900,15970,25370,30.44,63302.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,3,37-2000,Building Cleaning and Pest Control Workers,364300,419200,54900,15.1,247090,271570,573560,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",231800,265800,34000,14.7,155260,174370,363630,18.17,37781.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,37-2012,Maids and Housekeeping Cleaners,117100,134900,17800,15.2,85600,81080,184480,17.6,36598.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,37-2019,"Building Cleaning Workers, All Other",4300,5300,1000,23.3,2980,3350,7330,19.27,40094.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,37-2021,Pest Control Workers,11100,13300,2200,19.8,3250,12780,18230,19.56,40691.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,37-3000,Grounds Maintenance Workers,138800,161000,22200,16.0,64470,128500,215170,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,37-3011,Landscaping and Groundskeeping Workers,120400,139900,19500,16.2,55990,111580,187070,19.08,39689.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3100,3500,400,12.9,1410,2810,4620,20.36,42344.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,37-3013,Tree Trimmers and Pruners,10100,11500,1400,13.9,4640,9250,15290,28.56,59411.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,37-3019,"Grounds Maintenance Workers, All Other",5200,6200,1000,19.2,2430,4850,8280,19.39,40340.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,2,39-0000,Personal Care and Service Occupations,337700,473500,135800,40.2,252180,323930,711910,16.42,34135.0,No information available,<5 years,No Training
State,California,2020-2030,3,39-1000,Supervisors of Personal Care and Service Workers,22000,31000,9000,40.9,9690,18400,37090,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-1013,First-Line Supervisors of Gambling Services Workers,2700,3800,1100,40.7,1190,2260,4550,30.78,64006.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,4,39-1098,"First-Line Supervisors of Personal Service & Entertainment and Recreation Workers, Exc Gambling Services",19400,27200,7800,40.2,8490,16140,32430,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,3,39-2000,Animal Care and Service Workers,35400,50800,15400,43.5,26920,35300,77620,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-2011,Animal Trainers,3500,4700,1200,34.3,1920,2970,6090,18.85,39210.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,39-2021,Nonfarm Animal Caretakers,31800,46100,14300,45.0,25000,32340,71640,15.69,32643.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,39-3000,Entertainment Attendants and Related Workers,52400,84300,31900,60.9,62490,72440,166830,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-3011,Gaming Dealers,10200,14800,4600,45.1,6780,11260,22640,15.12,31427.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-3019,"Gaming Service Workers, All Other",1300,1900,600,46.2,860,1440,2900,15.61,32472.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",6000,9900,3900,65.0,10070,8090,22060,15.71,32685.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-3091,Amusement and Recreation Attendants,31600,53200,21600,68.4,41400,47510,110510,15.62,32493.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",1200,1600,400,33.3,1330,1530,3260,18.93,39369.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,39-4000,Funeral Service Workers,4800,5000,200,4.2,2580,3530,6310,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-4021,Funeral Attendants,2100,2200,100,4.8,1230,1640,2970,19.04,39593.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-4031,"Morticians, Undertakers, and Funeral Directors",2100,2200,100,4.8,1040,1480,2620,20.15,41907.0,Associate's degree,≥5 years,Long-term on-the-job training
State,California,2020-2030,3,39-5000,Personal Appearance Workers,70800,112400,41600,58.8,46940,49450,137990,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-5011,Barbers,2200,3300,1100,50.0,1050,1560,3710,21.88,45499.0,Postsecondary non-degree award,≥5 years,No Training
State,California,2020-2030,4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",26400,39900,13500,51.1,17560,18420,49480,15.53,32312.0,Postsecondary non-degree award,≥5 years,No Training
State,California,2020-2030,4,39-5092,Manicurists and Pedicurists,32400,55300,22900,70.7,22300,23200,68400,15.19,31598.0,Postsecondary non-degree award,≥5 years,No Training
State,California,2020-2030,4,39-5094,Skincare Specialists,7900,11600,3700,46.8,4960,5170,13830,19.34,40222.0,Postsecondary non-degree award,≥5 years,No Training
State,California,2020-2030,3,39-6000,"Baggage Porters, Bellhops, and Concierges",6900,8900,2000,29.0,4100,6030,12130,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-6011,Baggage Porters and Bellhops,2400,3300,900,37.5,1490,2190,4580,15.93,33133.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-6012,Concierges,4500,5600,1100,24.4,2610,3840,7550,18.49,38442.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,39-7000,Tour and Travel Guides,4500,6100,1600,35.6,3410,4950,9960,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-7010,Tour and Travel Guides,4500,6100,1600,35.6,3410,4950,9960,18.4,38282.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,39-9000,Other Personal Care and Service Workers,140900,175000,34100,24.2,96070,133820,263990,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,39-9011,Childcare Workers,52900,55400,2500,4.7,36460,37860,76820,17.52,36427.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-9031,Fitness Trainers and Aerobics Instructors,30200,49300,19100,63.2,23270,37720,80090,25.27,52557.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-9032,Recreation Workers,38600,46700,8100,21.0,25000,40520,73620,15.75,32749.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-9041,Residential Advisors,10700,12400,1700,15.9,5830,10380,17910,19.37,40286.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",8500,11000,2500,29.4,5510,7360,15370,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,2,41-0000,Sales and Related Occupations,1532800,1649800,117000,7.6,822200,1256950,2196150,18.31,38093.0,No information available,<5 years,No Training
State,California,2020-2030,3,41-1000,Supervisors of Sales Workers,163000,166600,3600,2.2,56300,111160,171060,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,41-1011,First-Line Supervisors of Retail Sales Workers,132600,136200,3600,2.7,47500,93120,144220,22.77,47353.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,30400,30400,0,0.0,8800,18040,26840,39.03,81185.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,3,41-2000,Retail Sales Workers,818400,859400,41000,5.0,572040,732850,1345890,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,41-2011,Cashiers,388700,393900,5200,1.3,332890,374640,712730,15.0,31200.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,41-2012,Gaming Change Persons and Booth Cashiers,2300,3200,900,39.1,2360,2660,5920,15.02,31249.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,41-2021,Counter and Rental Clerks,68100,78100,10000,14.7,32770,50210,92980,17.98,37395.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,41-2022,Parts Salespersons,26400,28500,2100,8.0,11580,21030,34710,18.5,38478.0,No formal educational credential,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-2031,Retail Salespersons,332800,355600,22800,6.9,192450,284320,499570,15.34,31926.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,41-3000,"Sales Representatives, Services",240300,275400,35100,14.6,68880,195030,299010,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,41-3011,Advertising Sales Agents,10100,11300,1200,11.9,3260,9930,14390,31.75,66040.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-3021,Insurance Sales Agents,48000,51000,3000,6.3,16490,27710,47200,30.75,63957.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",57700,64500,6800,11.8,13510,38520,58830,31.18,64842.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-3041,Travel Agents,5100,6000,900,17.6,2730,3700,7330,23.8,49519.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",119400,142600,23200,19.4,32890,115170,171260,31.53,65592.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",178200,202700,24500,13.7,56300,128700,209500,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",37500,43400,5900,15.7,11960,27340,45200,51.79,107737.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",140700,159400,18700,13.3,44340,101360,164400,31.75,66050.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,3,41-9000,Other Sales and Related Workers,132800,145700,12900,9.7,68680,89200,170780,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,41-9011,Demonstrators and Product Promoters,11000,13300,2300,20.9,13450,8040,23790,18.68,38843.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,41-9021,Real Estate Brokers,21800,23700,1900,8.7,9470,10010,21380,38.73,80560.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,4,41-9022,Real Estate Sales Agents,34500,37100,2600,7.5,14900,15740,33240,30.01,62415.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-9031,Sales Engineers,10500,12100,1600,15.2,2250,9270,13120,65.29,135809.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,41-9041,Telemarketers,7200,6800,-400,-5.6,3230,7140,9970,15.62,32499.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",8400,6500,-1900,-22.6,5450,4020,7570,15.21,31635.0,No formal educational credential,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,41-9099,"Sales and Related Workers, All Other",38800,45500,6700,17.3,19170,34530,60400,23.13,48134.0,High school diploma or equivalent,≥5 years,No Training
State,California,2020-2030,2,43-0000,Office and Administrative Support Occupations,1955900,2014000,58100,3.0,938750,1210250,2207100,23.39,48651.0,No information available,<5 years,No Training
State,California,2020-2030,3,43-1000,Supervisors of Office and Administrative Support Workers,154100,163700,9600,6.2,58980,97120,165700,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,154100,163700,9600,6.2,58980,97120,165700,31.13,64764.0,High school diploma or equivalent,<5 years,No Training
State,California,2020-2030,3,43-2000,Communications Equipment Operators,8300,6600,-1700,-20.5,3840,4410,6550,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,43-2011,"Switchboard Operators, Including Answering Service",7600,6100,-1500,-19.7,3560,3980,6040,18.93,39387.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,43-3000,Financial Clerks,325700,332900,7200,2.2,167140,184500,358840,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,43-3011,Bill and Account Collectors,22000,21600,-400,-1.8,7990,15460,23050,23.35,48568.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-3021,Billing and Posting Clerks,55000,58200,3200,5.8,23220,34740,61160,23.5,48880.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",184300,192400,8100,4.4,110380,96180,214660,23.99,49900.0,"Some college, no degree",≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-3041,Gaming Cage Workers,1900,2800,900,47.4,800,1640,3340,15.0,31200.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-3051,Payroll and Timekeeping Clerks,20800,19500,-1300,-6.3,9540,11020,19260,28.26,58768.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-3061,Procurement Clerks,6300,6300,0,0.0,1730,3990,5720,23.72,49338.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-3071,Tellers,32000,28400,-3600,-11.3,12260,18990,27650,18.73,38960.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-3099,"Financial Clerks, All Other",3300,3800,500,15.2,1210,2490,4200,29.02,60361.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,43-4000,Information and Record Clerks,485000,509200,24200,5.0,237210,356690,618100,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,43-4011,Brokerage Clerks,3200,3100,-100,-3.1,1280,2080,3260,27.79,57811.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-4021,Correspondence Clerks,1800,1800,0,0.0,770,1140,1910,19.52,40595.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4031,"Court, Municipal, and License Clerks",11500,11900,400,3.5,5710,5880,11990,26.76,55656.0,High school diploma or equivalent,≥5 years,Long-term on-the-job training
State,California,2020-2030,4,43-4051,Customer Service Representatives,200900,209300,8400,4.2,96410,161270,266080,19.42,40407.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4061,"Eligibility Interviewers, Government Programs",31800,33000,1200,3.8,11970,16750,29920,29.4,61162.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-4071,File Clerks,10600,9600,-1000,-9.4,5460,6240,10700,18.98,39470.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",22400,28000,5600,25.0,14590,26680,46870,15.94,33152.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4111,"Interviewers, Except Eligibility and Loan",20600,19800,-800,-3.9,11660,13040,23900,23.13,48099.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4121,"Library Assistants, Clerical",8200,8000,-200,-2.4,7220,5200,12220,23.05,47922.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4131,Loan Interviewers and Clerks,21700,22900,1200,5.5,6420,13090,20710,23.98,49890.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4141,New Accounts Clerks,1300,1100,-200,-15.4,380,750,930,23.78,49473.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-4151,Order Clerks,20900,19100,-1800,-8.6,8510,12580,19290,19.23,39980.0,"Some college, no degree",≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",14100,14800,700,5.0,5550,8790,15040,23.79,49504.0,Associate's degree,≥5 years,No Training
State,California,2020-2030,4,43-4171,Receptionists and Information Clerks,78000,84200,6200,7.9,45240,56020,107460,18.12,37701.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,11300,13800,2500,22.1,4760,8940,16200,21.58,44883.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-4199,"Information and Record Clerks, All Other",25700,28000,2300,8.9,10960,17710,30970,23.84,49577.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",259600,279500,19900,7.7,100930,147420,268250,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
State,California,2020-2030,4,43-5011,Cargo and Freight Agents,12500,15300,2800,22.4,5310,8250,16360,23.66,49213.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-5021,Couriers and Messengers,18600,17100,-1500,-8.1,7310,9710,15520,18.42,38315.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-5031,"Police, Fire, and Ambulance Dispatchers",7700,8100,400,5.2,2770,4400,7570,35.62,74101.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",23500,27000,3500,14.9,8900,14150,26550,22.82,47454.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
State,California,2020-2030,4,43-5041,"Meter Readers, Utilities",1200,1100,-100,-8.3,330,490,720,29.47,61277.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-5051,Postal Service Clerks,6800,7000,200,2.9,3150,2450,5800,27.72,57655.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-5052,Postal Service Mail Carriers,32200,33200,1000,3.1,11370,11730,24100,29.02,60361.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",12500,12300,-200,-1.6,6780,4030,10610,25.15,52304.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
State,California,2020-2030,4,43-5061,"Production, Planning, and Expediting Clerks",50400,58100,7700,15.3,19380,35240,62320,24.5,50951.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
